term_str,n,n_chars,p,i,n_pos,max_pos,stop,stem_porter,stem_snowball,stem_lancaster,p2,h,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
attack,127,6,0.00011478130095114836,13.088824748183454,3,NN,0,attack,attack,attack,0.0043530419880034275,0.0015023523325180836,1,0,0,1,0,1,0,0,0,0,-1
shock,125,5,0.00011297372140861059,13.111725150293532,1,NN,0,shock,shock,shock,0.004284490145672665,0.0014812803843155342,1,0,0,1,0,1,0,0,1,0,-1
forgotten,124,9,0.0001120699316373417,13.123313124568744,2,NNS,0,forgotten,forgotten,forgot,0.004250214224507284,0.0014707288047258482,0,0,0,1,0,1,0,1,0,0,-1
love,123,4,0.00011116614186607282,13.13499492961638,2,NN,0,love,love,lov,0.004215938303341903,0.0014601667097558816,0,0,0,0,1,0,1,0,0,0,1
bottom,122,6,0.00011026235209480394,13.146772097392732,1,NN,0,bottom,bottom,bottom,0.004181662382176521,0.0014495940139128615,0,0,0,0,0,1,0,1,0,0,-1
immediately,122,11,0.00011026235209480394,13.146772097392732,2,RB,0,immedi,immedi,immedy,0.004181662382176521,0.0014495940139128615,0,1,0,0,0,1,1,0,0,0,0
happily,122,7,0.00011026235209480394,13.146772097392732,1,RB,0,happili,happili,happy,0.004181662382176521,0.0014495940139128615,0,0,0,0,1,0,1,0,0,0,1
afraid,122,6,0.00011026235209480394,13.146772097392732,2,NN,0,afraid,afraid,afraid,0.004181662382176521,0.0014495940139128615,0,0,0,1,0,1,0,0,0,0,-1
powerful,120,8,0.00010845477255226617,13.170618839347101,2,JJ,0,power,power,pow,0.004113110539845758,0.0014284164705939816,1,1,1,1,1,0,1,0,0,1,1
die,120,3,0.00010845477255226617,13.170618839347101,1,NN,0,die,die,die,0.004113110539845758,0.0014284164705939816,0,0,0,1,0,1,0,1,0,0,-1
food,119,4,0.00010755098278099727,13.182691671647676,1,NN,0,food,food,food,0.004078834618680377,0.0014178114449845754,0,0,0,0,1,0,1,0,0,1,1
explain,112,7,0.00010122445438211508,13.270154512898015,2,NN,0,explain,explain,explain,0.0038389031705227078,0.0013432641501344637,0,0,0,0,0,0,1,0,0,1,1
present,110,7,9.941687483957731e-05,13.29614972143096,2,NN,0,present,present,pres,0.0037703513281919453,0.0013218616527037824,0,1,0,0,1,0,1,0,1,1,1
glad,110,4,9.941687483957731e-05,13.29614972143096,1,NN,0,glad,glad,glad,0.0037703513281919453,0.0013218616527037824,0,1,0,0,1,0,1,0,0,0,1
excellent,110,9,9.941687483957731e-05,13.29614972143096,3,NN,0,excel,excel,excel,0.0037703513281919453,0.0013218616527037824,0,0,0,0,1,0,1,0,0,1,1
hanging,106,7,9.580171575450178e-05,13.34958898039242,1,VBG,0,hang,hang,hang,0.00363324764353042,0.001278913528938984,1,0,1,1,0,1,0,1,0,0,-1
nasty,105,5,9.489792598323289e-05,13.363263917289498,2,JJ,0,nasti,nasti,nasty,0.0035989717223650387,0.0012681460301173456,1,0,1,1,0,1,0,1,0,0,-1
diary,105,5,9.489792598323289e-05,13.363263917289498,1,JJ,0,diari,diari,diary,0.0035989717223650387,0.0012681460301173456,0,0,0,0,1,0,1,0,0,1,1
beaming,105,7,9.489792598323289e-05,13.363263917289498,1,VBG,0,beam,beam,beam,0.0035989717223650387,0.0012681460301173456,0,1,0,0,1,0,1,0,0,0,1
doubt,104,5,9.399413621196401e-05,13.377069716814527,1,NN,0,doubt,doubt,doubt,0.003564695801199657,0.0012573661130792035,0,0,0,1,0,1,0,1,0,1,-1
dare,104,4,9.399413621196401e-05,13.377069716814527,1,NN,0,dare,dare,dar,0.003564695801199657,0.0012573661130792035,0,1,0,0,0,0,0,0,0,1,0
